mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	staff_text	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
9	9	32	32	4.0	0	0	Chord	4/4	1	1	1	1	1	39							
9	9	32	32	4.0	0	0	Chord	4/4	2	1	1	1	1	40							
10	10	36	36	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	3	5		
10	10	36	36	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	41							
10	10	38	38	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	5	3		
10	10	38	38	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	42							
10	10	36	36	0.0	0	0	FiguredBass	4/4	2	1	0						1/4	6	4	3	
10	10	36	36	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	43							3
10	10	37	37	0.0	1/4	1/4	FiguredBass	4/4	2	1	0						1/4	4	h		
10	10	37	37	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	44							
10	10	38	38	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	45							4
10	10	39	39	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	46							
11	11	40	40	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	6			
11	11	40	40	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	47							
11	11	42	42	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	4	2		
11	11	42	42	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	48							
11	11	44	44	0.0	1	1	FiguredBass	4/4	1	1	0						1/2	6			
11	11	40	40	0.0	0	0	FiguredBass	4/4	2	1	0						1/2	6			
11	11	40	40	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	49							
11	11	42	42	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	50							
12	12	44	44	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	h			
12	12	44	44	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	51							
12	12	46	46	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	6	5	h	
12	12	46	46	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	52							
12	12	44	44	0.0	0	0	FiguredBass	4/4	2	1	0						1/4	7			
12	12	44	44	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	53							
12	12	45	45	0.0	1/4	1/4	FiguredBass	4/4	2	1	0						1/4	7			
12	12	45	45	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	54							
12	12	46	46	0.0	1/2	1/2	FiguredBass	4/4	2	1	0						1/4	5	3		
12	12	46	46	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	55							
12	12	47	47	0.0	3/4	3/4	FiguredBass	4/4	2	1	0						1/4	#3	8		
12	12	47	47	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	56							
13	13	48	48	0.0	0	0	FiguredBass	4/4	1	1	0						1	h			
13	13	48	48	4.0	0	0	Chord	4/4	1	1	1	1	1	57							
13	13	48	48	4.0	0	0	Chord	4/4	2	1	1	1	1	58							
14	14	52	52	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	4__	2__		
14	14	52	52	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	59							
14	14	54	54	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	_	_		
14	14	54	54	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	60							
14	14	52	52	0.0	0	0	FiguredBass	4/4	2	1	0						1/4	6			
14	14	52	52	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	61							
14	14	53	53	2.0	1/4	1/4	Chord	4/4	2	1	1/2	1/2	1	62							
14	14	54	54	0.0	1/2	1/2	StaffText	4/4	2	1	0					"<font size=""11.9962""/>/"					
14	14	55	55	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	63							
15	15	56	56	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	5__	3__		
15	15	56	56	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	64							
15	15	58	58	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	65							
15	15	56	56	0.0	0	0	FiguredBass	4/4	2	1	0						1/4	_	_		
15	15	56	56	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	66							5
15	15	57	57	0.0	1/4	1/4	FiguredBass	4/4	2	1	0						1/4	6	5		5
15	15	57	57	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	67							5
15	15	115/2	115/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	68							
15	15	58	58	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	69	0						
15	15	59	59	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	70							
16	16	60	60	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	6	4		
16	16	60	60	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	71							
16	16	62	62	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	72							
16	16	60	60	0.0	0	0	FiguredBass	4/4	2	1	0						1/2	(7)			
16	16	60	60	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	73							
16	16	62	62	0.0	1/2	1/2	FiguredBass	4/4	2	1	0						1/2	(7)			
16	16	63	63	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	74							
16	16	64	64	0.0	1	1	FiguredBass	4/4	2	1	0						1/2	8	5	3	
17	17	64	64	4.0	0	0	Chord	4/4	1	1	1	1	1	75							
17	17	64	64	4.0	0	0	Chord	4/4	2	1	1	1	1	76							
